module,count,mean,std,min,25%,50%,75%,max
mlp.down_proj,104.0,1.3025367147829527,0.6804210289340786,0.9564990264440345,1.0238167369179114,1.046480733654379,1.1393518543722942,4.600069735806373
mlp.gate_proj,104.0,1.862535091389,1.6424054723725674,0.9223408267377672,1.135957530862262,1.1966873670247675,1.6288440976312522,11.530761795798163
mlp.up_proj,104.0,2.304551578736977,3.605508803123469,0.9272565266496907,1.1559831704516457,1.217543630795903,1.6867477365669574,30.722825602540677
self_attn.k_proj,104.0,1.0704450440014293,0.1634287850078258,0.8416962886067668,0.9996360022094469,1.0378489319591004,1.140439824262117,1.8856636029157827
self_attn.o_proj,104.0,2.0291955085285656,2.3808880174488003,0.9558005772918439,1.1022713575386835,1.1929462244729403,1.6470235567613312,15.406695041514752
self_attn.q_proj,104.0,2.880505092060855,3.738281077725734,0.528775831435909,1.8192990577906807,2.040547138154162,2.4084020321126776,27.071386277523484
self_attn.v_proj,104.0,0.5890870702957149,0.4294254446882958,0.11922086990409193,0.27053319357076694,0.46688151705080183,1.01451195228387,2.6854819588188663
