module,R,spread
mlp.down_proj,0.9565332214875486,1.8159625544049818
mlp.gate_proj,0.829307472079823,1.8102434362683313
mlp.up_proj,0.8506457160395224,1.784518532393757
self_attn.k_proj,1.1082125059829282,1.077776312879046
self_attn.o_proj,0.8230757406813483,1.517204537843429
self_attn.q_proj,0.9935922965096882,1.5284623029459752
self_attn.v_proj,1.2645123991422442,0.7086189612205862
