module,PR_Sigma,PR_Sigma_null,PR_Sigma_ratio,N,PR_over_N
mlp.down_proj,97.15317670213653,4095.7500152578577,0.023720484975941588,8192.0,0.011859518640397526
mlp.gate_proj,129.56425452527554,1638.2400156234742,0.07908746782501622,8192.0,0.015815949038729925
mlp.up_proj,129.56425452527554,1638.2400156234742,0.07908746782501622,8192.0,0.015815949038729925
self_attn.k_proj,31.442874944460357,1638.2400156234742,0.019193081993235262,8192.0,0.003838241570368696
self_attn.o_proj,42.53580364651829,1638.2400156234742,0.025964329549312222,8192.0,0.005192358843569127
self_attn.q_proj,31.442874944460357,1638.2400156234742,0.019193081993235262,8192.0,0.003838241570368696
self_attn.v_proj,31.442874944460357,1638.2400156234742,0.019193081993235262,8192.0,0.003838241570368696
