module,log_R_abs,log_ROmega_abs,log_ROmegaSym_abs
mlp.down_proj,0.33972453883059484,2.437396928431211,0.7377772662578201
mlp.gate_proj,0.35964002413887086,4.079106834513951,0.5589519785963577
mlp.up_proj,0.38480571466952146,4.233887723589982,0.5574618245807667
self_attn.k_proj,0.17903576235754037,4.603787077600737,0.17327404850295144
self_attn.o_proj,0.3466710885802864,3.1233463424354464,0.5389480603608643
self_attn.q_proj,0.19179967419764943,4.547418853115701,0.24181448216895493
self_attn.v_proj,0.3379913680633915,4.8431402997113935,0.1868303049421623
