name,step,PR_inf,slope,PR_at_8192,r2,bias
model.layers.0.mlp.down_proj,0,63.15288647916762,25.816683012489992,49.43236037087569,0.9748651515007096,0.782741108550629
model.layers.0.mlp.down_proj,262,179.96071970397793,50.800999289692655,80.90671434546248,0.9699882687363354,0.4495798554181603
model.layers.0.mlp.down_proj,548,184.50161473518926,15.694075028012595,145.21726576884797,0.9809967270968296,0.7870785628476739
model.layers.0.mlp.down_proj,813,86.90676195263171,11.45567998558986,58.81565527616348,0.6070560533620377,0.6767673073381884
model.layers.0.mlp.gate_proj,0,14.682080479782524,-6.118196641832611,15.334026323316943,0.625590810108313,1.044404186752154
model.layers.0.mlp.gate_proj,262,96.34486601494017,69.91474543519851,56.33769078184757,0.9663197048581339,0.5847503153215378
model.layers.0.mlp.gate_proj,548,51.31074790836602,6.383974061087712,76.22201409477853,0.1012773468571283,1.4854980136111176
model.layers.0.mlp.gate_proj,813,34.5249958994661,2.7430311024217824,31.49867132292519,0.027033689494790347,0.9123439555111517
model.layers.0.mlp.up_proj,0,5.936311730840156,-62.98879774460943,6.405565247625677,0.8989041081991043,1.079047991086396
model.layers.0.mlp.up_proj,262,61.868169951523704,48.98344333826101,44.93488773296286,0.9609889925295997,0.7263005802203496
model.layers.0.mlp.up_proj,548,51.839060425753004,6.642040598234277,73.8139910224399,0.11935851856134672,1.4239068072647785
model.layers.0.mlp.up_proj,813,40.6932397120002,6.27535017074768,35.04667574266791,0.16583293318278125,0.8612407365622661
model.layers.0.self_attn.k_proj,0,3.8180986328049946,42.56819571815259,3.894530057135254,0.602173191423574,1.0200181901204863
model.layers.0.self_attn.k_proj,262,6.335831991817001,387.0724752659821,5.139810027877766,0.9963088089683055,0.8112289016684866
model.layers.0.self_attn.k_proj,548,5.441533787103519,-4.851159293733078,6.340792062235006,0.002230793048241697,1.1652582360625485
model.layers.0.self_attn.k_proj,813,6.379450963590674,-4.979443510917649,4.874693624828902,0.002149699918345349,0.7641243192635468
model.layers.0.self_attn.o_proj,0,4.511165666080275,-41.8797604306918,4.816726707356058,0.6981377446874575,1.0677343870506275
model.layers.0.self_attn.o_proj,262,18.41409500646906,25.332570763850867,23.200184876343318,0.2861071411375865,1.2599144768283672
model.layers.0.self_attn.o_proj,548,18.751666139135406,-0.5093559400352451,33.15240702548966,3.940656157641609e-05,1.7679712714327493
model.layers.0.self_attn.o_proj,813,14.857168748118477,3.6098034330066477,26.060166999512195,0.001114842093000834,1.7540466451801238
model.layers.0.self_attn.q_proj,0,1.7907376546416132,63.90768671422575,1.8451813694541035,0.45665853574336046,1.03040295415209
model.layers.0.self_attn.q_proj,262,9.00395243788666,369.0551233201856,6.104446907975992,0.9967989327176043,0.6779741397000074
model.layers.0.self_attn.q_proj,548,2.5041082705819107,-116.59752952501043,3.481255087834669,0.07117491752159144,1.3902174793047932
model.layers.0.self_attn.q_proj,813,3.153857498121144,-215.1132973857371,4.208773961163658,0.7293016479813745,1.334484504664831
model.layers.0.self_attn.v_proj,0,3.0172721691360707,-41.292213471899345,2.8469466336148908,0.3362707717919091,0.943549827137421
model.layers.0.self_attn.v_proj,262,3485.720035317355,131.096091641214,44.98202473833209,0.9888362216802621,0.012904657942282717
model.layers.0.self_attn.v_proj,548,25.210289778645002,48.86580573253092,29.993541937514077,0.5229947277703595,1.1897341205066532
model.layers.0.self_attn.v_proj,813,38.098365458541544,63.98993329800886,37.28465731678607,0.6933557078114738,0.9786419146343444
model.layers.1.mlp.down_proj,0,33.349424362397734,39.03181961740058,27.7080378907986,0.992286219445085,0.8308400645751496
model.layers.1.mlp.down_proj,262,118.68277376528756,30.043577012581984,85.31112754187006,0.8352328629181621,0.7188164283267025
model.layers.1.mlp.down_proj,548,295.9344088829533,16.664635449158133,166.8622749492648,0.9874073265223566,0.5638488460301398
model.layers.1.mlp.down_proj,813,152.65600895316044,21.551555779563806,70.79024880355577,0.797918646314853,0.4637239587815793
model.layers.1.mlp.gate_proj,0,207.63500260610863,48.323339878771634,82.63219363857262,0.9927364436379164,0.39796851494894137
