module,D_in,D_out
mlp.down_proj,8192,2048
mlp.gate_proj,2048,8192
mlp.up_proj,2048,8192
self_attn.k_proj,2048,2048
self_attn.o_proj,2048,2048
self_attn.q_proj,2048,2048
self_attn.v_proj,2048,2048
