name,step,PR_inf,slope,PR_at_8192,r2,bias
model.layers.0.mlp.down_proj,0,10.797304543484614,26.269495819764472,10.676317408804625,0.8952658114294079,0.988794690916355
model.layers.0.mlp.down_proj,262,10.752754395928218,19.108381569423162,10.913801274156846,0.6811007962143768,1.0149772674329485
model.layers.0.mlp.down_proj,548,13.90861566012028,12.83492837945447,14.166821765390987,0.6027299980382346,1.0185644719489269
model.layers.0.mlp.down_proj,813,13.128138758153325,12.593206495510636,13.419928230153213,0.5537909284897711,1.0222262635530623
model.layers.0.mlp.gate_proj,0,20.91329892547718,1.225089574183727,21.096619342178865,0.08833172283158297,1.0087657340601754
model.layers.0.mlp.gate_proj,262,28.30982311656181,1.7971660816444883,28.5752638114966,0.21445869334724754,1.0093762752893891
model.layers.0.mlp.gate_proj,548,36.780531205727286,1.9768212671514542,37.09018944285137,0.3216905978068221,1.0084190800668986
model.layers.0.mlp.gate_proj,813,39.88668803802217,2.036387162077922,40.215924549767074,0.35707143671752295,1.0082542955542224
model.layers.0.mlp.up_proj,0,20.91329892547718,1.225089574183727,21.096619342178865,0.08833172283158297,1.0087657340601754
model.layers.0.mlp.up_proj,262,28.30982311656181,1.7971660816444883,28.5752638114966,0.21445869334724754,1.0093762752893891
model.layers.0.mlp.up_proj,548,36.780531205727286,1.9768212671514542,37.09018944285137,0.3216905978068221,1.0084190800668986
model.layers.0.mlp.up_proj,813,39.88668803802217,2.036387162077922,40.215924549767074,0.35707143671752295,1.0082542955542224
model.layers.0.self_attn.k_proj,0,1.475745221421988,2.1009864371299023,1.4800997866746672,0.013639715714358402,1.0029507568037275
model.layers.0.self_attn.k_proj,262,1.4777101170257825,2.058201719185691,1.4820639963384963,0.01311366207038589,1.0029463690222795
model.layers.0.self_attn.k_proj,548,1.4795177343413473,2.040143076776731,1.4838760388142036,0.012886240641561408,1.002945760210706
model.layers.0.self_attn.k_proj,813,1.4802412595505376,2.032877770750223,1.484603215186473,0.01279052503210254,1.0029467869563775
model.layers.0.self_attn.o_proj,0,6.090263810042847,14.559590549600966,6.139796523381295,0.5092736491821125,1.0081330981519665
model.layers.0.self_attn.o_proj,262,6.311005704295607,14.573584683747443,6.3748283684325315,0.46703796692679667,1.010112914981757
model.layers.0.self_attn.o_proj,548,6.561837482776356,14.172474561771512,6.63638815156202,0.43534166841253275,1.0113612488851402
model.layers.0.self_attn.o_proj,813,6.654659082830796,13.976297858085179,6.733242142192024,0.4246150569018826,1.0118087280479888
model.layers.0.self_attn.q_proj,0,1.475745221421988,2.1009864371299023,1.4800997866746672,0.013639715714358402,1.0029507568037275
model.layers.0.self_attn.q_proj,262,1.4777101170257825,2.058201719185691,1.4820639963384963,0.01311366207038589,1.0029463690222795
model.layers.0.self_attn.q_proj,548,1.4795177343413473,2.040143076776731,1.4838760388142036,0.012886240641561408,1.002945760210706
model.layers.0.self_attn.q_proj,813,1.4802412595505376,2.032877770750223,1.484603215186473,0.01279052503210254,1.0029467869563775
model.layers.0.self_attn.v_proj,0,1.475745221421988,2.1009864371299023,1.4800997866746672,0.013639715714358402,1.0029507568037275
model.layers.0.self_attn.v_proj,262,1.4777101170257825,2.058201719185691,1.4820639963384963,0.01311366207038589,1.0029463690222795
model.layers.0.self_attn.v_proj,548,1.4795177343413473,2.040143076776731,1.4838760388142036,0.012886240641561408,1.002945760210706
model.layers.0.self_attn.v_proj,813,1.4802412595505376,2.032877770750223,1.484603215186473,0.01279052503210254,1.0029467869563775
model.layers.1.mlp.down_proj,0,1.0354524960090439,-20.096562443345025,1.0394099386019429,0.9029728896242404,1.0038219450995118
model.layers.1.mlp.down_proj,262,1.0321523762908935,-19.388590953529388,1.0366329497086053,0.8254199687606426,1.004340999953721
model.layers.1.mlp.down_proj,548,1.0277608682256074,-17.87933325629454,1.0320985290039915,0.7993040992385472,1.0042204961411625
model.layers.1.mlp.down_proj,813,1.0286889299795485,-18.98064049453599,1.0332551963445817,0.794472575936122,1.0044389185418026
model.layers.1.mlp.gate_proj,0,20.597770843890203,0.8315244002783522,20.740402187992697,0.0930804323524318,1.006924600976654
model.layers.1.mlp.gate_proj,262,43.15698766337319,0.5749726596429678,43.77791013256817,0.0768363144822315,1.0143875303354861
model.layers.1.mlp.gate_proj,548,67.80893119675083,0.5402415631512201,68.99845363890093,0.10627277590518258,1.0175422679749757
model.layers.1.mlp.gate_proj,813,73.39081567474369,0.45424812172150164,74.91123723522067,0.07823418320985576,1.0207167824270442
model.layers.1.mlp.up_proj,0,20.597770843890203,0.8315244002783522,20.740402187992697,0.0930804323524318,1.006924600976654
model.layers.1.mlp.up_proj,262,43.15698766337319,0.5749726596429678,43.77791013256817,0.0768363144822315,1.0143875303354861
model.layers.1.mlp.up_proj,548,67.80893119675083,0.5402415631512201,68.99845363890093,0.10627277590518258,1.0175422679749757
model.layers.1.mlp.up_proj,813,73.39081567474369,0.45424812172150164,74.91123723522067,0.07823418320985576,1.0207167824270442
model.layers.1.self_attn.k_proj,0,10.952076239247255,-0.8433234660611914,11.031022917942163,0.05505213333565262,1.0072083755600605
model.layers.1.self_attn.k_proj,262,13.658526629491666,-0.7878905911967712,13.778756112429686,0.05055927033642471,1.008802522131371
model.layers.1.self_attn.k_proj,548,16.50793716349274,-0.8287989106541925,16.659246271414577,0.07244350824691159,1.009165839827429
model.layers.1.self_attn.k_proj,813,17.344505107400796,-0.8498284897620253,17.50706603346211,0.08064554928068723,1.0093724741671615
model.layers.1.self_attn.o_proj,0,5.454323823072696,1.4764825098001544,5.4692866251765775,0.44849914277570024,1.002743291852344
model.layers.1.self_attn.o_proj,262,8.045800962983249,-2.035923161660086,8.232814963604598,0.01732836286721262,1.0232436772276314
model.layers.1.self_attn.o_proj,548,8.725050085810189,-4.809185252623982,9.005952824493601,0.0717259134514221,1.0321949714810523
model.layers.1.self_attn.o_proj,813,9.093276720046038,-5.062247098507157,9.40090996171846,0.07975952041018608,1.0338308457054042
model.layers.1.self_attn.q_proj,0,10.952076239247255,-0.8433234660611914,11.031022917942163,0.05505213333565262,1.0072083755600605
model.layers.1.self_attn.q_proj,262,13.658526629491666,-0.7878905911967712,13.778756112429686,0.05055927033642471,1.008802522131371
model.layers.1.self_attn.q_proj,548,16.50793716349274,-0.8287989106541925,16.659246271414577,0.07244350824691159,1.009165839827429
model.layers.1.self_attn.q_proj,813,17.344505107400796,-0.8498284897620253,17.50706603346211,0.08064554928068723,1.0093724741671615
model.layers.1.self_attn.v_proj,0,10.952076239247255,-0.8433234660611914,11.031022917942163,0.05505213333565262,1.0072083755600605
model.layers.1.self_attn.v_proj,262,13.658526629491666,-0.7878905911967712,13.778756112429686,0.05055927033642471,1.008802522131371
model.layers.1.self_attn.v_proj,548,16.50793716349274,-0.8287989106541925,16.659246271414577,0.07244350824691159,1.009165839827429
model.layers.1.self_attn.v_proj,813,17.344505107400796,-0.8498284897620253,17.50706603346211,0.08064554928068723,1.0093724741671615
model.layers.12.mlp.down_proj,0,239.82440803322388,0.9560902890125657,233.86327634882704,0.9991927092718146,0.9751437656688763
model.layers.12.mlp.down_proj,262,340.2869148222716,1.0191180521330525,326.45580968135783,0.9604462031437797,0.9593545783324121
model.layers.12.mlp.down_proj,548,355.7145247829979,1.0149399418309428,343.88390868131165,0.9391624443479963,0.9667412622273339
model.layers.12.mlp.down_proj,813,363.07485716030584,1.0105796737140915,349.7120236352793,0.9535087323838095,0.9631953762110095
model.layers.12.mlp.gate_proj,0,131.72327397552274,0.6889500386879547,129.84209355279324,0.9902691635983744,0.9857186936981306
model.layers.12.mlp.gate_proj,262,167.59918394526832,0.887333891774208,164.5767975121109,0.9776343448366757,0.9819665802540875
model.layers.12.mlp.gate_proj,548,172.86891800662423,0.9075303797198054,169.7792297469264,0.9618831465744617,0.982126987920527
model.layers.12.mlp.gate_proj,813,173.06070639483866,0.9268545381846888,169.79684180813305,0.9664571215949621,0.9811403486400946
model.layers.12.mlp.up_proj,0,131.72327397552274,0.6889500386879547,129.84209355279324,0.9902691635983744,0.9857186936981306
model.layers.12.mlp.up_proj,262,167.59918394526832,0.887333891774208,164.5767975121109,0.9776343448366757,0.9819665802540875
model.layers.12.mlp.up_proj,548,172.86891800662423,0.9075303797198054,169.7792297469264,0.9618831465744617,0.982126987920527
model.layers.12.mlp.up_proj,813,173.06070639483866,0.9268545381846888,169.79684180813305,0.9664571215949621,0.9811403486400946
model.layers.12.self_attn.k_proj,0,35.74007591462287,0.45651472859470654,35.67244123794512,0.9933825874375356,0.9981075956066988
model.layers.12.self_attn.k_proj,262,27.380004589524862,1.1503311861792704,27.457124307594892,0.5536170259985839,1.0028166437232642
model.layers.12.self_attn.k_proj,548,26.229545418272995,1.6741618048074045,26.262200533959607,0.5991879806353128,1.001244974518844
model.layers.12.self_attn.k_proj,813,25.82264076091678,1.665150267770934,25.85379858021316,0.5992503385793988,1.0012066085566096
model.layers.12.self_attn.o_proj,0,43.03618817375801,1.6784513847999987,42.987650308948915,0.9339247521739782,0.9988721616186562
