,R_over_ratio_shuf
0,0.5539411210094074
1,1.1087656903139889
2,0.6709867552239409
3,1.1658638389014764
4,1.0627578451792783
5,0.7677859451612374
6,1.0885422331388448
7,1.2932773325823919
8,1.1084094015365373
9,1.081270147256919
10,0.8311450246850198
11,0.95860028897398
12,1.0072563764254747
13,1.0015745320306433
14,0.859312151052874
15,0.7781844834818382
16,0.875761676938427
17,1.0604587088609752
18,1.1915146919182975
19,0.9791865450567462
20,0.8834078441731281
21,0.8617105531250112
22,0.749339345916256
23,0.955267128103687
24,1.0974535344221241
25,1.0423643301590129
26,0.9603293977258547
27,1.0343374416895161
28,0.8985998734499189
29,1.1313092302023364
30,0.8201980207048989
31,0.9617218548984543
32,0.988505932643361
33,0.9780274448295064
34,1.0132519165520906
35,0.8466315942388861
36,1.0059829252670451
37,1.215149195357939
38,1.0182102882370685
39,0.9957838760315134
40,0.9717186410183709
41,1.0238659261788936
42,0.9949593781616957
43,1.3371266224555134
44,1.2646171795667307
45,1.063049311144056
46,0.9605905803260335
47,1.0449999619108667
48,0.978785334180878
49,2.1766829727554065
50,1.0209684062339999
51,1.4390839355504899
52,0.8123687717128563
53,0.9483280600820024
54,0.976544668257735
55,0.9505514307082488
56,0.8628787372987021
57,0.719382794943184
58,0.9903369257327013
59,0.8311327518355481
60,0.8290042341889224
61,0.8199105030859442
62,0.9741893534634536
63,0.731940456722907
64,1.0494799242254835
65,1.0721404804276322
66,0.9948017445051895
67,1.0321829947448524
68,1.007411391976369
69,1.0081683710172153
70,0.9192834597179406
71,0.8139113988356677
72,1.0056764100620528
73,1.1288512612879908
74,0.94222922333098
75,0.9855305581781106
76,1.0223023925658172
77,0.9725396606732006
78,1.0772831432957382
79,0.7348659225120747
80,0.9978595212425433
81,1.0196021414019527
82,0.945676564989705
83,0.9812137024319996
84,1.0179319155747304
85,0.9976823647161813
86,1.0078801926857852
87,0.9890774388461082
88,0.9866424340547778
89,1.0122173088168378
90,0.992679224243194
91,0.9026804323138822
92,1.1610961911584334
93,0.9090222203830889
94,1.0181142347693797
95,0.9993782269437277
96,1.0085858538952517
97,1.0665255671073768
98,1.0894990859621712
99,1.0287301997877827
100,1.0545123369326963
101,1.0025029233733296
102,1.0070168390815475
103,1.036719598809302
104,0.6322795323576301
105,1.059659229574724
106,0.7190449134483318
107,1.0273004288857033
108,1.1178302422403683
109,0.9942868252645359
110,1.0896195035899012
111,1.0443628556053988
112,1.0180404176845148
113,0.8687555760181388
114,1.0178377271509034
115,0.9106539736895181
116,0.9142251538251475
117,1.0270185004797476
118,1.5536598886438058
119,0.7002220243867063
120,1.567111600990968
121,1.13023901830488
122,0.9137304197494213
123,1.3815913111864697
124,1.0791180315405118
125,0.9557023942542472
126,1.2203896618887518
127,1.04299032592652
128,0.967236248723577
129,0.9607040038438205
130,0.9401594156734487
131,1.0064273262958832
132,0.6591712315367978
133,0.8819798367440735
134,1.2752350004275863
135,0.8244220866064489
136,1.028913522947742
137,0.9759347359303578
138,0.9574084639983041
139,0.9874942527348116
140,1.0972737291361305
141,1.1077629808212839
142,1.0867667903774691
143,1.052989226960275
144,0.9283836522921912
145,0.9641310604965992
146,1.1474677650059848
147,1.2158934006609523
148,0.7881541243244488
149,1.103753328340682
150,1.0167871826473012
151,1.0461573760631369
152,0.9779591478043905
153,1.008362722889633
154,1.0406342044320103
155,1.0706804850442266
156,1.1870305845918796
157,1.0449011938397401
158,0.9643921548561174
159,0.9708657120173976
160,0.8994363764452143
161,0.976995860732307
162,1.2374188372610835
163,1.0469616485052102
164,0.793121041410899
165,0.986645754687535
166,1.0191373242900073
167,1.0361840847271413
168,1.1316551891580973
169,0.9292208124268344
170,1.0231726628114424
171,0.8601618993020257
172,0.9702333775583798
173,0.8776362049257073
174,1.2379144371579942
175,0.6847524815830883
176,0.8649664503374286
177,0.7415890715749365
178,0.8237746088770275
179,1.1409729201288057
180,0.953321499181155
181,0.9809203603560762
182,0.900276747734581
183,0.872297560821908
184,0.8956656824262729
185,0.9102217579141306
186,0.9315737437343593
187,0.986077312587289
188,0.7995433693599727
189,0.8976391035997582
190,1.129012814028655
191,0.7962368106256663
192,0.9593214951084289
193,0.9350295152994351
194,0.9709505065085259
195,0.9472117526654333
196,1.1260691769158253
197,1.0011035949363363
198,0.9957081666907345
199,0.9989454666846066
200,0.9562292888348566
201,0.9571378452961747
202,1.3273892453107108
203,1.1877983124942182
204,0.9016210455818038
205,1.0748494231876273
206,1.0645474215767314
207,1.0219069633136355
208,0.9554941014547598
209,0.9595006869879058
210,1.071528181953992
211,0.9900564207195168
212,1.135262364324468
213,1.0832417116294455
214,0.9891336611880455
215,0.9967374326653714
216,1.130326651296025
217,1.0154410455325311
218,1.0499369485460273
219,0.9921626305363425
220,0.7900737277604741
221,0.993734392729934
222,0.9792717774982153
223,0.9772515820299257
224,1.1206019473701312
225,1.0645204057828161
226,0.988198499415561
227,0.86372675738467
228,0.890490437616296
229,0.7707065951053387
230,0.9131430708052045
231,0.9075627973539114
232,1.1936571855353952
233,1.1490020268903662
234,0.8489825703327866
235,0.9094218646328919
236,1.0806456847818373
237,0.9922055140568014
238,0.8546766218072696
239,1.071630342005263
240,0.9860543785775984
241,1.3488645040408134
242,0.9599802641990203
243,0.9357707452094957
244,0.8040624446879197
245,0.9368645961782892
246,0.8185696026809758
247,1.1245036629066167
248,1.039081571542034
249,1.1213660827752703
250,1.2286137848742267
251,0.8613940730385443
252,1.0258231883174693
253,0.9440226599042446
254,0.9231287058619199
255,1.0010842427354254
256,0.953450220866397
257,1.0026693490017229
258,1.0235346055477044
259,0.9738821701324192
260,0.9861691967104386
261,1.0052280048759072
262,1.007273841236671
263,1.000481369429085
264,0.9814701382514999
265,0.9359664509769589
266,1.0640883042537161
267,0.9609475977077201
268,0.9086323054597419
269,1.0143518545349366
270,1.0302684515506755
271,0.9869536735030253
272,1.1085959100135456
273,0.8543370678824628
274,1.0231513903634082
275,1.1858169716395377
276,0.8293683270549771
277,1.0162549489947363
278,0.9054218193759984
279,0.9810006442332857
280,1.0304884689757823
281,1.0304140854570603
282,1.0496060550727166
283,1.3749648341112788
284,0.9363132690760476
285,0.8875680144904672
286,1.0060260770103056
287,1.15833649691934
288,1.0540089737466705
289,1.3412190063047589
290,0.7398007605840328
291,0.9284523608331728
292,1.0366991975790674
293,0.9998955835242732
294,1.0974945855401084
295,1.012593164922696
296,1.1425422825123277
297,0.9087333313583379
298,1.0042369744827577
299,0.9616217669976898
300,0.9876753683824528
301,0.8595176171678977
302,1.1054519211624454
303,0.7265620816756336
304,1.0403848255404442
305,1.129369528210648
306,0.9676834070078897
307,0.9944640601151805
308,0.9759542019930808
309,0.9554019303082395
310,1.0697288159320992
311,1.0082228948163239
312,0.9623586880545854
313,1.0316471967706609
314,1.1474244992450737
315,1.096510839995457
316,0.8879959629708267
317,1.0569909184515
318,1.0331756761586928
319,1.0240069566309635
320,0.994177419167627
321,0.9701387103202219
322,1.118054025663832
323,0.9562682970147948
324,1.1347330183849327
325,1.0980061186229282
326,0.9669442937561185
327,0.9809681303472897
328,1.0432729830624248
329,0.918635164745791
330,1.1222797862335019
331,1.0532421284306053
332,0.7494052721231387
333,0.9674648386337362
334,1.0379448849673696
335,1.06547596602213
336,1.0451976487436552
337,1.035537808528957
338,1.0073896196767957
339,1.270909445869846
340,1.002697882562918
341,0.9163017581348128
342,1.092571729149112
343,1.066528920453556
344,0.8238972416212423
345,1.3475316883762698
346,0.7463149414201228
347,1.046071634418906
348,1.0252679956306865
349,0.9981793346127903
350,1.0789092128205005
351,1.0643355580138179
352,1.2126518928657326
353,0.8757156002437317
354,1.0261918236895526
355,0.9218616724431937
356,1.0898330855684861
357,0.9909175882666866
358,1.1513010943377913
359,0.7120962840984365
360,0.9880128588864946
361,1.0921207769150687
362,0.981179998946981
363,0.9923239877159397
364,1.049172893532632
365,0.9215280425613922
366,1.0803950059122092
367,0.9675745026765775
368,0.9639453480135464
369,1.0019784056866163
370,1.206120625776019
371,1.0849138809214045
372,1.0304976014903922
373,1.0940946241537866
374,1.0475978267133708
375,1.0029661030541344
376,0.9639633075331134
377,0.9368242529460493
378,1.1022447224997982
379,0.982067110828987
380,1.0890038568502358
381,1.0458264955247825
382,0.9846161763982516
383,0.9821147604322065
384,1.0515158152820463
385,0.9918028565735835
386,1.0209028445075001
387,1.0322466259726226
